Type of experience;Incident Type;Who was affected;Place;Person/Group who committed incident;Date
experienced;property damage;Jewish students.;on the quad;a professor.;2024-09-11 12:05:24
felt;speech/rhetoric;faculty, staff, or administrators.;in my dorm;a professor.;2024-09-11 12:06:56
heard;speech/rhetoric;Jewish students.;in a classroom;a professor.;2024-09-11 12:08:04
experienced;physical assault;me.;in my dorm;a student.;2024-09-11 12:10:08
experienced;faculty conduct;Jewish students.;in a classroom;a professor.;2024-09-11 12:11:34
experienced;physical assault;Jewish students.;at a student club;a student.;2024-09-11 12:12:40
experienced;physical assault;me.;at a student club;a student.;2024-09-11 12:13:45
experienced;physical assault;me.;on the quad;i’m not sure/unknown.;2024-09-11 13:24:21
felt;faculty conduct;the Israeli government.;online;a professor.;2024-09-11 13:37:41
experienced;something else;Israel.;online;i’m not sure/unknown.;2024-09-11 13:39:01
heard;faculty conduct;me.;in a classroom;a professor.;2024-09-11 14:11:55
—;physical assault;faculty, staff, or administrators.;—;—;2024-09-11 14:12:21
—;something else;—;—;—;2024-09-11 18:29:38
experienced;faculty conduct;Jewish students.;in a classroom;a professor.;2024-09-11 22:34:46
experienced;property damage;Jewish students.;at Hillel or Chabad;a campus club or organization.;2024-09-12 04:03:24
felt;speech/rhetoric;me.;off campus;a student.;2024-09-12 06:41:29
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;a student.;2024-09-12 07:03:49
felt;graffiti;Israel.;off campus;i’m not sure/unknown.;2024-09-12 07:12:29
experienced;something else;the Israeli government.;in a classroom;a professor.;2024-09-12 07:17:04
experienced;property damage;Israel.;in a classroom;i’m not sure/unknown.;2024-09-12 07:22:49
—;faculty conduct;—;—;—;2024-09-12 07:29:36
experienced;speech/rhetoric;Israel.;on the quad;—;2024-09-12 07:36:14
heard;speech/rhetoric;Jewish students.;on the quad;a student.;2024-09-12 07:37:33
saw;speech/rhetoric;the Israeli government.;online;someone online.;2024-09-12 07:52:57
experienced;graffiti;Israel.;off campus;i’m not sure/unknown.;2024-09-12 07:57:50
—;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;—;—;2024-09-12 08:30:32
saw;graffiti;Israel.;on the quad;i’m not sure/unknown.;2024-09-12 08:34:32
experienced;speech/rhetoric;Israel.;in a classroom;a professor.;2024-09-12 08:42:23
heard;speech/rhetoric;Jewish students.;on the quad;a campus club or organization.;2024-09-12 09:04:11
heard;graffiti;the Israeli government.;off campus;i’m not sure/unknown.;2024-09-12 09:19:39
felt;graffiti;the Israeli government.;off campus;someone from off campus.;2024-09-12 09:20:12
heard;something else;the Israeli government.;off campus;someone online.;2024-09-12 09:20:49
heard;speech/rhetoric;the Israeli government.;off campus;someone online.;2024-09-12 09:21:13
experienced;graffiti;Israel.;in my dorm;a student.;2024-09-12 10:36:24
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;—;a campus club or organization.;2024-09-12 10:50:30
saw;graffiti;Jewish students.;in my dorm;a student.;2024-09-12 10:55:30
heard;speech/rhetoric;me.;off campus;someone online.;2024-09-12 10:56:50
felt;call for BDS (Boycott, Divestment, Sanctions);Jewish students.;at a student club;a campus club or organization.;2024-09-12 11:23:41
heard;speech/rhetoric;the Israeli government.;on the quad;someone from off campus.;2024-09-12 11:39:17
experienced;physical assault;me.;at Hillel or Chabad;a professor.;2024-09-12 11:39:40
felt;faculty conduct;Jewish students.;in a classroom;a professor.;2024-09-12 12:02:35
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;i’m not sure/unknown.;2024-09-12 12:02:48
saw;faculty conduct;Israel.;online;a professor.;2024-09-12 12:03:36
experienced;speech/rhetoric;me.;on the quad;—;2024-09-12 12:04:29
experienced;faculty conduct;Israel.;in a classroom;a professor.;2024-09-12 12:04:34
experienced;something else;Israel.;in a classroom;a professor.;2024-09-12 12:04:43
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;a campus club or organization.;2024-09-12 12:05:15
experienced;speech/rhetoric;Jews or the Jewish community.;at Hillel or Chabad;a campus club or organization.;2024-09-12 12:06:14
heard;call for BDS (Boycott, Divestment, Sanctions);Jewish students.;at a student club;a student.;2024-09-12 12:06:19
saw;speech/rhetoric;Jews or the Jewish community.;online;a student.;2024-09-12 12:06:40
saw;graffiti;Jews or the Jewish community.;off campus;i’m not sure/unknown.;2024-09-12 12:06:48
experienced;physical assault;Jewish students.;at Hillel or Chabad;a professor.;2024-09-12 12:06:49
saw;graffiti;Jews or the Jewish community.;on the quad;a student.;2024-09-12 12:07:11
heard;speech/rhetoric;faculty, staff, or administrators.;in a classroom;a student.;2024-09-12 12:07:11
experienced;speech/rhetoric;Israel.;in a classroom;a professor.;2024-09-12 12:07:13
saw;speech/rhetoric;me.;online;a student.;2024-09-12 12:07:27
heard;speech/rhetoric;Israel.;in a classroom;a student.;2024-09-12 12:07:41
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2024-09-12 12:08:34
experienced;something else;me.;at Hillel or Chabad;a campus club or organization.;2024-09-12 12:08:42
saw;graffiti;Jews or the Jewish community.;on the quad;a campus club or organization.;2024-09-12 12:08:45
experienced;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;in a classroom;i’m not sure/unknown.;2024-09-12 12:09:40
saw;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;at a student club;a campus club or organization.;2024-09-12 12:10:45
heard;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;at a student club;i’m not sure/unknown.;2024-09-12 12:12:00
saw;graffiti;Israel.;on the quad;a campus club or organization.;2024-09-12 12:12:24
experienced;speech/rhetoric;the Israeli government.;on the quad;a student.;2024-09-12 12:12:56
saw;graffiti;Jewish students.;online;someone online.;2024-09-12 12:15:01
